lift,drag,mach,aoa
11.382161109381016,-0.053491467562968964,0.91,0.6
12.385828462362795,-0.05970633481194021,0.935,0.6
13.482219486106796,-0.06656895616452374,0.96,0.6
14.670691558041751,-0.07401440630211908,0.985,0.6
15.949261090009387,-0.08191669135347013,1.01,0.6
17.31451762589927,-0.09010896811763303,1.035,0.6
18.76144275431453,-0.09831369201641493,1.06,0.6
20.283743233500097,-0.10631738944680791,1.085,0.6
21.87275576463454,-0.11447410763906518,1.11,0.6
23.518730831730952,-0.12269601580859302,1.135,0.6
23.76675030930213,-0.11859004650544236,1.16,0.6
22.451329321155157,-0.10344806095062253,1.185,0.6
21.895810360112016,-0.09672626248111271,1.21,0.6
21.532850100996384,-0.09236606599648312,1.235,0.6
21.242710961475677,-0.08906363712103271,1.26,0.6
21.009439862845905,-0.08650669468988426,1.285,0.6
20.822285133467297,-0.0844618635676575,1.31,0.6
20.68374864955032,-0.082834024463466,1.335,0.6
20.60455772346468,-0.08199464571190163,1.36,0.6
20.570296086580015,-0.08153982876623189,1.385,0.6
20.569636035467422,-0.08126943003586717,1.41,0.6
20.59639630571963,-0.08114862620803365,1.435,0.6
20.647465913240698,-0.08115377260420686,1.46,0.6
20.718428595700182,-0.08126661331674256,1.485,0.6
0.0009888696629367791,-4.838213925065227e-6,0.01,0.7
0.014031902689603307,-5.484035192758821e-5,0.035,0.7
0.04133358059295672,-0.00016367971636152556,0.06,0.7
0.08309718863732726,-0.0003299418230384363,0.085,0.7
0.13933601261359785,-0.0005539073062437172,0.11,0.7
0.21024075583452154,-0.0008359449552823167,0.135,0.7
0.2960671564908066,-0.0011761117309412178,0.16,0.7
0.3966342158242122,-0.0015783368933293962,0.185,0.7
0.5123027153570586,-0.00204294850398698,0.21,0.7
0.6432100336693625,-0.00257205205399183,0.235,0.7
0.7898260029683468,-0.003166282518569208,0.26,0.7
0.952227921871054,-0.003829672686519181,0.285,0.7
1.1308721738728704,-0.004563690553034128,0.31,0.7
1.3260953050643798,-0.005372033570069157,0.335,0.7
1.5383018750241124,-0.006257768037465972,0.36,0.7
1.7679760414781736,-0.007225339781634421,0.385,0.7
2.0156096258095286,-0.008278356281865462,0.41,0.7
2.2818090284757697,-0.00942252901626528,0.435,0.7
2.567212418092895,-0.010663157017118507,0.46,0.7
2.872545905835645,-0.012006929619661877,0.485,0.7
3.1986042828476293,-0.013460838691550792,0.51,0.7
3.5462533824941294,-0.015032482786816015,0.535,0.7
3.9165667028888205,-0.01673220278311205,0.56,0.7
4.310642559881408,-0.018569899093584086,0.585,0.7
4.729746050128916,-0.02055806834085616,0.61,0.7
5.1753044120900284,-0.022710204355579133,0.635,0.7
5.649020783086313,-0.025041051587733287,0.66,0.7
6.152472852240626,-0.027572372794314015,0.685,0.7
6.688025101733018,-0.0303229679372512,0.71,0.7
7.257993615573887,-0.03331880917544794,0.735,0.7
7.865200134153022,-0.03659046822612133,0.76,0.7
8.53227458233264,-0.04036532173046359,0.785,0.7
9.313507701975496,-0.04520537412822989,0.81,0.7
10.216797886311642,-0.051245156916752244,0.835,0.7
11.245905702346336,-0.0585635794907331,0.86,0.7
12.22304519858209,-0.06527712234003946,0.885,0.7
13.289325223635238,-0.0728074215276191,0.91,0.7
14.463721469774164,-0.08129221336040793,0.935,0.7
15.746891345015202,-0.09066261530748854,0.96,0.7
17.138095919046926,-0.10084574016934056,0.985,0.7
18.63498648110085,-0.11163590741794494,1.01,0.7
20.233554641669777,-0.1228537394022382,1.035,0.7
21.928102261690395,-0.13407838536978645,1.06,0.7
23.71088661878246,-0.14503363653763301,1.085,0.7
25.571954826907405,-0.1562018710403521,1.11,0.7
27.499655789658807,-0.16746643033799202,1.135,0.7
27.807589265244047,-0.16207309473241338,1.16,0.7
26.269507756967034,-0.1413889867134408,1.185,0.7
25.571842734361297,-0.13170688278512444,1.21,0.7
25.14002988615225,-0.12569871317602832,1.235,0.7
24.798453462058088,-0.12117326905784154,1.26,0.7
24.523182200432057,-0.11766036617802555,1.285,0.7
24.302928566217243,-0.1148663138599062,1.31,0.7
24.14027464695179,-0.11263552993037251,1.335,0.7
24.04706711412537,-0.11149048557184926,1.36,0.7
24.006383712950058,-0.11086602102793464,1.385,0.7
24.005155441566476,-0.11049515463049886,1.41,0.7
24.036115783039627,-0.11032513934098631,1.435,0.7
24.095432773514585,-0.11033288360697213,1.46,0.7
24.177993997695065,-0.11048227801609656,1.485,0.7
0.001000157971577935,-6.094907432616786e-6,0.01,0.8
0.016030674335794547,-7.206556778650147e-5,0.035,0.8
0.04728045401116927,-0.00021335183147412617,0.06,0.8
0.09498223200378732,-0.0004299808827545881,0.085,0.8
0.15926908471165124,-0.0007216843995278555,0.11,0.8
0.2404009315845083,-0.001088746484262007,0.135,0.8
